"Restaurant ","Food Category ","Item_Name ","Item Description 2013 ","Servings Per Item 2013 ","Serving Size 2013 ","Serving Size Unit 2013 ","Servings Size Text 2013 ","Calories 2013 ","Total Fat (g) 2013 ","Saturated Fat (g) 2013 ","Trans Fat (g) 2013 ","Cholesterol (mg) 2013 ","Sodium (mg) 2013 ","Potassium (mg) 2013 ","Carbohydrates (g) 2013 ","Fiber (g) 2013 ","Sugar (g) 2013 ","Protein (g) 2013 "
Applebee's,"Appetizers & Sides","Appetizer Sampler","Appetizer Sampler, Appetizers, As Served",,"=""-""","=""-""",,"=""2300-2460""","=""143-160""","=""43-47""","=""2-2.5""","=""-""","=""5440-6150""","=""-""","=""157-183""",13,"=""-""","=""89-91"""
Applebee's,"Appetizers & Sides","Applesauce, Kids","Applesauce, Side, Kids",,"=""-""","=""-""",,90,0,0,0,"=""-""",5,"=""-""",23,2,"=""-""",0
Applebee's,"Appetizers & Sides","Baked Potato","Baked Potato, Steaks & Toppers or Soups, Salads & Sides",,"=""-""","=""-""",,330,18,11,0,"=""-""",170,"=""-""",41,3,"=""-""",6
Applebee's,"Appetizers & Sides","Boneless Wings, Classic Buffalo","Boneless Wings, Classic Buffalo, Appetizers, As Served; Choice of Adding Dipping Sauce: Ranch or Blue Cheese",,"=""-""","=""-""",,1170,69,16,1,"=""-""",3780,"=""-""",66,8,"=""-""",70
Applebee's,"Appetizers & Sides","Boneless Wings, Honey BBQ","Boneless Wings, Honey BBQ, Appetizers, As Served; Choice of Adding Dipping Sauce: Ranch or Blue Cheese",,"=""-""","=""-""",,1250,55,11,0.5,"=""-""",3060,"=""-""",116,8,"=""-""",71
Applebee's,"Appetizers & Sides","Boneless Wings, Hot Buffalo","Boneless Wings, Hot Buffalo, Appetizers, As Served; Choice of Adding Dipping Sauce: Ranch or Blue Cheese",,"=""-""","=""-""",,1170,70,16,1,"=""-""",3900,"=""-""",67,8,"=""-""",71
Applebee's,"Appetizers & Sides","Boneless Wings, Southern BBQ","Boneless Wings, Southern BBQ, Appetizers, As Served; Choice of Adding Dipping Sauce: Ranch or Blue Cheese",,"=""-""","=""-""",,1110,55,11,0.5,"=""-""",2780,"=""-""",83,8,"=""-""",70
Applebee's,"Appetizers & Sides","Boneless Wings, Sweet & Spicy Sauce","Boneless Wings, Sweet & Spicy Sauce, Appetizers, As Served; Choice of Adding Dipping Sauce: Ranch or Blue Cheese",,"=""-""","=""-""",,1150,55,11,0.5,"=""-""",3390,"=""-""",90,8,"=""-""",71
Applebee's,"Appetizers & Sides","Brew Pub Pretzels & Beer Cheese Dip","Brew Pub Pretzels & Beer Cheese Dip, Appetizers, As Served",,"=""-""","=""-""",,1170,55,19,2,"=""-""",3380,"=""-""",128,10,"=""-""",39
Applebee's,"Appetizers & Sides","Celery w/ Dressing, Kids","Celery w/ Dressing, Side, Kids",,"=""-""","=""-""",,220,22,3.5,0,"=""-""",420,"=""-""",5,2,"=""-""",2
Applebee's,"Appetizers & Sides","Chili Cheese Nachos","Chili Cheese Nachos, Appetizers, As Served",,"=""-""","=""-""",,1600,99,36,2,"=""-""",3940,"=""-""",132,16,"=""-""",48
